# Reference flux 14214.6936817
# Magnitude zero point 29.7465228468
# mag = zpt - 2.5 * log10(flux)
3883.23597 162.146 537.31262585 B746-gb5-R-7
3883.24312 126.761 581.782307436 B747-gb5-R-7
3883.25028 235.836 580.906835235 B748-gb5-R-7
3883.25743 -478.866 589.542878628 B749-gb5-R-7
3883.26459 -386.986 574.521839895 B750-gb5-R-7
3883.27357 -178.137 584.209839213 B751-gb5-R-7
3885.16207 -63.6541 429.97073346 B811-gb5-R-7
3885.92071 -44.484 377.1288054 B836-gb5-R-7
3885.92784 -23.3534 426.649303773 B837-gb5-R-7
3885.93495 -436.524 519.37164864 B838-gb5-R-7
3885.94207 513.276 567.253486008 B839-gb5-R-7
3885.94921 112.034 460.018469456 B840-gb5-R-7
3885.95741 150.02 461.776003605 B841-gb5-R-7
3885.96453 200.154 470.284679172 B842-gb5-R-7
3885.97878 -339.359 418.066797312 B844-gb5-R-7
3885.98591 46.5272 528.80214835 B845-gb5-R-7
3885.99308 416.944 359.79359916 B846-gb5-R-7
3886.0002 -161.765 465.49252386 B847-gb5-R-7
3886.00732 273.909 343.876391226 B848-gb5-R-7
3886.01445 4.29771 400.646215404 B849-gb5-R-7
3886.02158 27.1527 449.795309403 B850-gb5-R-7
3886.0287 57.2268 429.566435368 B851-gb5-R-7
3886.03582 405.709 539.436911352 B852-gb5-R-7
3886.04294 358.002 576.128162169 B853-gb5-R-7
3886.05006 163.238 329.09695336 B854-gb5-R-7
3886.05718 411.043 471.75530179 B855-gb5-R-7
3886.06431 51.7928 335.818822392 B856-gb5-R-7
3886.07143 277.547 391.080811521 B857-gb5-R-7
3886.07855 73.7141 372.93310726 B858-gb5-R-7
3886.08567 279.598 283.61077799 B859-gb5-R-7
3886.09279 580.806 505.22910156 B860-gb5-R-7
3886.11163 1966.37 421.181059078 B862-gb5-R-7
3886.11875 393.68 259.2376114 B863-gb5-R-7
3886.133 -601.618 480.15869489 B865-gb5-R-7
3887.1753 -284.542 492.35325176 B873-gb5-R-7
3887.18242 -514.793 464.74295184 B874-gb5-R-7
3887.18954 -116.442 461.7629982 B875-gb5-R-7
3887.19703 -809.468 531.36764221 B876-gb5-R-7
3887.20416 48.9186 331.42340239 B877-gb5-R-7
3887.21129 -662.113 562.3735288 B878-gb5-R-7
3887.22553 -281.051 473.705658186 B880-gb5-R-7
3887.23288 788.167 581.68043824 B881-gb5-R-7
3887.24001 -54.6195 462.655506082 B882-gb5-R-7
3887.24713 34.4786 401.817574054 B883-gb5-R-7
3887.25425 -323.372 503.86150464 B884-gb5-R-7
3887.26138 -407.532 467.05032424 B885-gb5-R-7
3887.27573 -480.285 564.78734996 B887-gb5-R-7
3887.28303 214.068 538.33219266 B888-gb5-R-7
3887.29031 -168.463 589.7310947 B889-gb5-R-7
3893.88704 163.834 504.140795931 B1081-gb5-R-7
3893.89418 16.962 487.054707447 B1082-gb5-R-7
3893.90133 159.301 435.461049054 B1083-gb5-R-7
3893.90847 48.8497 490.36858328 B1084-gb5-R-7
3893.91561 151.212 437.96176096 B1085-gb5-R-7
3893.9245 288.553 519.84197379 B1086-gb5-R-7
3893.93164 137.024 512.43309553 B1087-gb5-R-7
3893.99009 -6.42607 572.99437917 B1095-gb5-R-7
3894.00581 -160.095 336.550934178 B1096-gb5-R-7
3894.01295 -37.0904 258.78776495 B1097-gb5-R-7
3894.0201 -142.567 389.157586974 B1098-gb5-R-7
3894.02723 -59.9469 270.293936952 B1099-gb5-R-7
3894.03437 250.345 395.967192312 B1100-gb5-R-7
3894.04297 899.238 383.891916 B1101-gb5-R-7
3894.05011 -353.368 281.249291955 B1102-gb5-R-7
3894.05726 163.358 360.383417368 B1103-gb5-R-7
3894.0644 160.807 227.916158607 B1104-gb5-R-7
