# Event:     2006-BLG-98
# Object ID: gb11-9-260
# Reference flux = 2088.4
3894.2197 847.377 572.642
3894.25531 864.279 501.934
3894.2928 472.362 632.759
3894.84328 -75.2772 336.358
3894.88571 731.879 378.36
3894.92412 410.688 310.788
3894.96185 836.576 334.261
3895.00315 575.725 277.893
3895.04968 -184.017 323.556
3895.0908 684.737 367.207
3895.13143 731.593 333.406
3895.16814 831.537 373.323
3895.20835 537.63 351.923
3895.24698 1092.89 377.666
3895.28448 981.798 402.348
3896.04162 71.9087 668.765
3896.07879 -1334.5 1306.06
3896.86678 -519.216 972.371
3902.93769 1293.94 368.993
3902.97507 504.26 280.369
3903.01247 954.066 380.416
3903.08245 190.05 449.694
3903.2192 459.328 389.625
3903.25672 803.58 365.277
3903.86517 1023.35 1334.47
3903.90295 1120.88 347.995
3903.96732 398.252 1683.28
3904.00553 905.864 339.152
3904.05233 666.309 452.181
3905.18974 643.275 381.08
3905.85319 386.498 352.966
3905.8967 362.436 258.234
3905.93353 881.459 363.997
3905.97063 452.011 376.004
3906.00746 971.813 440.966
3906.04414 548.01 469.567
3906.08125 501.4 510.944
3906.12219 1440.64 470.102
3906.15785 730.994 455.182
3906.19495 779.555 455.097
3906.23437 1093.46 471.541
3906.27075 1096.82 361.722
3906.81802 -729.512 997.992
3907.16175 -709.343 682.62
3907.19759 1289.03 507.367
3907.92597 716.623 246.991
3907.96835 147.655 249.471
3908.00445 735.924 306.62
3908.04068 -63.4735 338.727
3908.07831 -322.819 295.674
3908.12313 825.658 293.06
3908.16373 671.446 408.776
3908.20437 1233.24 293.743
3908.24033 1219.25 1191.21
3909.99773 852.499 354.067
3910.04464 636.953 387.244
3910.81999 176.247 342.989
3910.85688 602.346 382.946
3910.89332 682.522 393.804
3910.92931 851.813 504.016
3910.96534 675.555 488.339
3911.00131 407.519 507.137
3911.03817 725.269 519.444
3911.07803 710.837 553.358
3911.11405 977.811 549.786
3911.15 915.396 439.621
3911.18595 823.24 371.686
3911.22196 1412.84 449.014
3911.25784 1576.27 397.51
3911.82122 400.69 246.576
3911.85732 540.813 260.702
3911.89346 680.202 388.334
3911.92955 523.703 418.105
3911.96563 543.77 375.891
3912.00169 561.834 503.053
3912.03785 833.367 522.022
3912.07787 720.379 701.918
3912.11396 1112.3 543.768
3912.14999 652.927 494.733
3912.18622 641.418 488.727
3912.22222 992.813 454.303
3912.79176 -65.9001 280.172
3912.82779 456.288 298.147
3912.86386 645.131 351.393
3912.89994 707.099 427.662
3912.93649 602.073 462.844
3912.97327 461.29 437.715
3913.01012 453.103 349.222
3913.04824 414.924 475.73
3913.0878 1058.41 352.714
3913.12458 545.051 486.95
3913.16141 478.795 477.468
3913.19865 1033.38 502.618
3913.23645 1413.51 467.468
3913.79065 706.347 268.9
3913.82742 579.614 347.658
3913.86414 552.458 284.398
3913.9008 469.211 302.386
3913.93753 545.619 379.076
3913.97439 383.684 313.989
3914.01114 644.518 304.41
3914.04927 655.598 408.352
3914.08869 1321.53 341.242
3914.12521 875.996 434.449
3914.1612 590.973 427.985
3914.19721 848.786 380.53
3914.23297 1329.29 363.431
3914.8211 339.662 420.446
3914.85726 122.478 527.589
3914.89379 856.131 541.659
3914.92983 362.184 347.025
3914.97816 663.106 473.854
3915.01552 1013.0 424.586
3915.0529 735.275 657.6
3916.14676 1178.28 450.619
3916.19029 1557.57 449.447
3916.80083 647.256 424.207
3916.84259 763.51 377.201
3916.8789 768.177 407.346
3916.91627 683.326 398.362
3916.95393 484.83 396.242
3916.99078 611.365 432.06
3917.03156 479.592 498.96
3917.07271 457.095 555.093
3917.10958 1346.91 474.018
3917.19746 924.96 379.012
3917.79802 931.423 285.359
3917.83398 418.117 405.361
3917.8714 475.604 269.513
3917.90855 700.326 333.517
3917.9452 265.015 307.59
3917.98199 495.173 345.491
3918.0897 1373.32 323.858
3919.18235 839.47 1135.45
3920.90534 556.459 308.377
3921.02112 451.95 326.605
